ID;guild ;sea_conditions;sp_catch_dep;clams_richness;biodiversity;eco_importance
1;Baiona;0,00;0,02;0,50;0,50;0,00
3;Cambados;0,00;0,08;1,00;1,00;0,42
6;Carril;1,00;0,15;0,50;0,00;0,05
2;Arcade;0,00;0,00;0,00;0,00;0,45
5;Moaña ;0,00;0,30;1,00;0,67;0,59
4;Campelo;0,00;1,00;1,00;0,83;1,00
