guild ;experience;education;job _experience ;formation;market_influence;infrastructure;cooperation ;monitoring;isolation ;credits_div;trust;monoculture
Baiona;1.00;0.00;-0.23;1.00;0.37;0.00;0.00;0.00;1.00;0.00;0.62;0.00
Cambados;0.00;0.00;1.00;1.00;1.00;0.50;0.00;1.00;0.66;0.33;0.62;0.68
Carril;1.00;0.00;0.23;0.00;0.00;0.75;0.00;1.00;0.83;1.00;0.28;1.00
Arcade;1.00;0.00;-0.23;1.00;0.04;1.00;0.33;1.00;0.33;0.33;0.44;0.79
Moana ;1.00;1.00;0.00;1.00;1.00;0.50;0.33;0.00;0.53;0.00;1.00;0.47
Campelo;0.00;0.00;0.31;1.00;1.00;1.00;1.00;1.00;0.00;0.67;0.00;1.00
