guild 	catch_increase_original	catch_increase	clams_density	catch_rate	surveillance
Baiona	0	1	0	0.03	0
Cambados	0.52	0.48	0.25	0	0.8
Carril	0.8	0.2	0.55	0.93	0.34
Arcade	0.87	0.13	0.48	0.5	0.42
Moaña 	0.5	0.5	-0.06	0.42	0.2
Campelo	1	0	1	1	1
