ID;guild ;ES;SS;SAC
1;Baiona;0,31;-0,98;1,76
3;Cambados;-2,33;-1,50;4,10
6;Carril;-2,47;0,70;2,44
2;Arcade;-2,26;0,45;3,79
5;Moaña ;-0,73;-0,77;4,83
4;Campelo;-3,76;0,17;4,97
