guild 	ES	SS	SAC
Baiona	0.31	-0.98	1.76
Cambados	-2.33	-1.5	4.1
Carril	-2.47	0.7	2.44
Arcade	-2.26	0.45	3.79
Moana 	-0.73	-0.77	4.83
Campelo	-3.76	0.17	4.97
