guild ;HM_AGENCY;LVL_DVNT;EC_STRENGHT;AD_MNGMT;SC_CAPITAL
Baiona;1.769230769;-1;0.37;0;0.61875
Cambados;2;-0.1625;1.328333333;0.315789474;0.61875
Carril;1.230769231;-0.075;1;0;0.28125
Arcade;1.769230769;0.675;0.368333333;0.210526316;0.770833333
Moana ;3;-0.025;1;-0.473684211;1.333333333
Campelo;1.307692308;1;1.666666667;0;1
