guild ;experience;education;job _experience ;formation;mark_influ;cooperation ;monitoring;isolation ;credits_div;trust
Baiona;1.00;0.00;;1.00;0.37;0.00;0.00;1.00;0.00;0.62
Cambados;0.00;0.00;1.00;1.00;1.00;0.00;1.00;0.66;0.33;0.62
Carril;1.00;0.00;0.23;0.00;0.00;0.00;1.00;0.83;1.00;0.28
Arcade;1.00;0.00;;1.00;0.04;0.33;1.00;0.33;0.33;0.44
Moana ;1.00;1.00;0.00;1.00;1.00;0.33;0.00;0.53;0.00;1.00
Campelo;0.00;0.00;0.31;1.00;1.00;1.00;1.00;0.00;0.67;0.00
