guild ;EV;SS;SIP
Baiona;1.23;0.17;1.40
Cambados;-0.01;0.08;0.07
Carril;0.47;0.53;1.00
Arcade;0.28;0.41;0.68
Moana ;0.82;0.15;0.97
Campelo;0.15;0.33;0.49
min;-0.01;0.08;0.07
max;1.23;0.53;1.40
mean;0.49;0.28;0.77
